transaction_id,date,product_id,customer_id,quantity,unit_price
12670,2024-01-30 09:47:04.445048,38,196,8,468.65201607014467
35786,2024-01-30 09:47:04.445048,9,6,9,1020.8449792951128
46531,2024-01-30 09:47:04.445048,73,971,8,346.273605604179
28251,2024-01-30 09:47:04.445048,55,993,2,959.8236744709326
44627,2024-01-30 09:47:04.445048,62,606,3,273.1005086929134
19345,2024-01-30 09:47:04.445048,80,759,9,127.05863436133701
5906,2024-01-30 09:47:04.445048,3,356,6,444.2959630182233
49039,2024-01-30 09:47:04.445048,7,285,9,751.5222298002569
21703,2024-01-30 09:47:04.445048,95,529,2,124.38272159604622
20013,2024-01-30 09:47:04.445048,18,959,1,908.8449128482555
302,2024-01-30 09:47:04.445048,8,396,6,785.2702119695715
4982,2024-01-30 09:47:04.445048,34,666,3,938.2589657153538
48952,2024-01-30 09:47:04.445048,10,827,6,292.28313039860586
5132,2024-01-30 09:47:04.445048,19,727,7,77.04530008927456
16905,2024-01-30 09:47:04.445048,93,271,8,304.7077606499953
1551,2024-01-30 09:47:04.445048,8,306,2,973.6649644215936
26608,2024-01-30 09:47:04.445048,84,381,3,503.3969069167243
12221,2024-01-30 09:47:04.445048,72,183,10,749.7277941811797
46932,2024-01-30 09:47:04.445048,88,353,6,693.6490576411247
41013,2024-01-30 09:47:04.445048,98,256,8,693.7015265188754
36939,2024-01-30 09:47:04.445048,10,402,7,952.8033386278756
6838,2024-01-30 09:47:04.445048,63,294,2,485.4840320526012
29419,2024-01-30 09:47:04.445048,43,250,6,975.1655743252664
15832,2024-01-30 09:47:04.445048,48,834,3,373.88272907664987
13960,2024-01-30 09:47:04.445048,65,335,1,57.45342113712588
46470,2024-01-30 09:47:04.445048,66,865,6,610.7902058970615
49554,2024-01-30 09:47:04.445048,22,812,8,965.7631514323232
31545,2024-01-30 09:47:04.445048,75,607,10,227.44209127416738
9927,2024-01-30 09:47:04.445048,54,116,7,171.6361928984166
5195,2024-01-30 09:47:04.445048,45,812,8,992.6062292896323
23261,2024-01-30 09:47:04.445048,80,493,9,164.25906868665413
33484,2024-01-30 09:47:04.445048,83,302,9,591.0619078627608
45799,2024-01-30 09:47:04.445048,47,984,7,216.92732817290707
114,2024-01-30 09:47:04.445048,74,145,4,343.5767052877879
14708,2024-01-30 09:47:04.445048,53,189,4,558.7200916171677
36454,2024-01-30 09:47:04.445048,36,785,1,840.2471020768596
40031,2024-01-30 09:47:04.445048,44,698,1,930.7873975236399
14588,2024-01-30 09:47:04.445048,99,843,4,35.79426840159569
7307,2024-01-30 09:47:04.445048,26,168,2,989.9722916265422
41466,2024-01-30 09:47:04.445048,25,584,7,754.2296238921983
16379,2024-01-30 09:47:04.445048,8,366,7,908.1313361108445
5525,2024-01-30 09:47:04.445048,37,483,6,620.1401599122541
45559,2024-01-30 09:47:04.445048,41,646,3,394.48201048161394
46305,2024-01-30 09:47:04.445048,91,145,5,563.4737719413903
32073,2024-01-30 09:47:04.445048,61,542,5,145.9159490249745
46332,2024-01-30 09:47:04.445048,27,117,8,973.4026200328396
1026,2024-01-30 09:47:04.445048,52,360,6,716.6724011981757
25168,2024-01-30 09:47:04.445048,30,425,8,320.42743642413495
23408,2024-01-30 09:47:04.445048,94,594,9,220.98841931081898
19332,2024-01-30 09:47:04.445048,20,924,1,223.82173870936217
45660,2024-01-30 09:47:04.445048,22,622,1,616.2154878564943
4663,2024-01-30 09:47:04.445048,38,615,9,877.4160550755263
7447,2024-01-30 09:47:04.445048,54,328,10,551.0176603633504
9283,2024-01-30 09:47:04.445048,8,949,6,262.1030319163458
